Make,Model,Year,Engine.Fuel.Type,Engine.HP,Engine.Cylinders,Transmission.Type,Driven_Wheels,Number.of.Doors,Vehicle.Size,Vehicle.Style,highway.MPG,city.mpg,Popularity,MSRP,Market.Category
Acura,TL,2012,premium unleaded (required),305,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,26,18,204,39255,"Luxury,Performance"
Aston Martin,DBS,2010,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Convertible,17,11,259,279500,"Exotic,High-Performance"
Aston Martin,V12 Vanquish,2005,premium unleaded (required),520,12,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,16,10,259,255000,"Exotic,Factory Tuner,High-Performance"
Aston Martin,V12 Vanquish,2004,premium unleaded (required),460,12,AUTOMATIC,rear wheel drive,2,Compact,Coupe,18,11,259,234260,"Exotic,High-Performance"
Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,MANUAL,rear wheel drive,2,Compact,Coupe,19,13,259,103300,"Exotic,High-Performance"
Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,198295,"Exotic,High-Performance"
Aston Martin,DBS,2012,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,18,12,259,290861,"Exotic,High-Performance"
Aston Martin,DB9,2015,premium unleaded (required),510,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,13,259,188295,"Exotic,High-Performance"
Aston Martin,DBS,2010,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,Midsize,Coupe,17,11,259,266000,"Exotic,High-Performance"
Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,MANUAL,rear wheel drive,2,Compact,Convertible,19,13,259,112700,"Exotic,High-Performance"
Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,21,14,259,103900,"Exotic,High-Performance"
Audi,R8,2015,premium unleaded (required),525,10,AUTOMATED_MANUAL,all wheel drive,2,Compact,Convertible,22,13,3105,175100,"Luxury,High-Performance"
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000,Luxury
Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,24,17,3105,2000,Luxury
Audi,Q5,2016,premium unleaded (required),272,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,26,18,3105,46000,"Crossover,Luxury"
Audi,90,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Compact,Sedan,24,18,3105,2000,Luxury
Audi,A6,2015,diesel,240,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,38,24,3105,58700,"Diesel,Luxury"
Audi,A6,2016,diesel,240,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,38,25,3105,63700,"Diesel,Luxury"
Audi,Q3,2015,premium unleaded (recommended),200,4,AUTOMATIC,front wheel drive,4,Compact,4dr SUV,29,20,3105,32500,"Crossover,Luxury"
Audi,Q3,2015,premium unleaded (recommended),200,4,AUTOMATIC,all wheel drive,4,Compact,4dr SUV,28,20,3105,34600,"Crossover,Luxury"
Audi,200,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,Wagon,22,16,3105,2000,"Luxury,Performance"
Audi,Q7,2015,premium unleaded (required),280,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,3105,54800,"Crossover,Luxury"
Audi,A3,2016,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,2,Compact,Convertible,35,24,3105,39300,Luxury
Audi,S3,2016,premium unleaded (required),292,4,AUTOMATED_MANUAL,all wheel drive,4,Compact,Sedan,31,23,3105,42500,"Factory Tuner,Luxury,High-Performance"
Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,Sedan,22,17,3105,2000,Luxury
Audi,90,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Compact,Sedan,20,15,3105,2000,Luxury
Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220,4,AUTOMATIC,all wheel drive,2,Midsize,Convertible,21,15,3105,48600,"Flex Fuel,Luxury"
Audi,Q7,2014,premium unleaded (required),280,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,22,16,3105,47700,"Crossover,Luxury"
Audi,A6,2015,diesel,240,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,38,24,3105,62500,"Diesel,Luxury"
Audi,Cabriolet,1996,regular unleaded,172,6,AUTOMATIC,front wheel drive,2,Compact,Convertible,22,17,3105,2631,Luxury
Audi,Q7,2014,diesel,240,6,AUTOMATIC,all wheel drive,4,Large,4dr SUV,28,19,3105,52900,"Crossover,Luxury,Diesel"
Audi,A3,2016,diesel,150,4,AUTOMATED_MANUAL,front wheel drive,4,Compact,Sedan,43,31,3105,33200,"Diesel,Luxury"
Audi,Q3,2017,premium unleaded (recommended),200,4,AUTOMATIC,front wheel drive,4,Compact,4dr SUV,28,20,3105,31800,"Crossover,Luxury"
Audi,S7,2015,premium unleaded (required),420,8,AUTOMATED_MANUAL,all wheel drive,4,Large,Sedan,27,17,3105,82500,"Factory Tuner,Luxury,High-Performance"
Audi,S4,2015,premium unleaded (required),333,6,MANUAL,all wheel drive,4,Midsize,Sedan,26,17,3105,48400,"Factory Tuner,Luxury,High-Performance"
Audi,A4 allroad,2017,premium unleaded (recommended),252,4,AUTOMATED_MANUAL,all wheel drive,4,Midsize,Wagon,28,23,3105,47000,Luxury
Audi,A6,2017,premium unleaded (recommended),252,4,AUTOMATED_MANUAL,front wheel drive,4,Midsize,Sedan,34,24,3105,47600,Luxury
Audi,A3,2017,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,2,Compact,Convertible,34,25,3105,40300,Luxury
Audi,A6,2016,premium unleaded (recommended),252,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,32,22,3105,52100,Luxury
Audi,R8,2015,premium unleaded (required),525,10,MANUAL,all wheel drive,2,Compact,Convertible,19,12,3105,166100,"Luxury,High-Performance"
Audi,A7,2015,premium unleaded (required),310,6,AUTOMATIC,all wheel drive,4,Large,Sedan,28,18,3105,65900,"Luxury,Performance"
Audi,Coupe,1991,regular unleaded,164,5,MANUAL,all wheel drive,2,Compact,2dr Hatchback,22,15,3105,2000,"Hatchback,Factory Tuner,Luxury,Performance"
Bentley,Continental,2003,premium unleaded (required),420,8,AUTOMATIC,rear wheel drive,2,Large,Coupe,15,10,520,318990,"Exotic,Factory Tuner,Luxury,Performance"
Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),626,12,AUTOMATIC,all wheel drive,2,Midsize,Convertible,20,12,520,250100,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance"
Bentley,Continental GTC,2013,flex-fuel (premium unleaded required/E85),567,12,AUTOMATIC,all wheel drive,2,Midsize,Convertible,19,11,520,212800,"Exotic,Flex Fuel,Luxury,High-Performance"
Bentley,Continental GTC,2014,premium unleaded (required),521,8,AUTOMATIC,all wheel drive,2,Midsize,Convertible,24,14,520,216200,"Exotic,Factory Tuner,Luxury,High-Performance"
Bentley,Continental Supersports Convertible,2012,flex-fuel (premium unleaded required/E85),621,12,AUTOMATIC,all wheel drive,2,Midsize,Convertible,19,12,520,280400,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance"
Bentley,Continental GT,2014,premium unleaded (required),500,8,AUTOMATIC,all wheel drive,2,Midsize,Coupe,24,15,520,177500,"Exotic,Luxury,High-Performance"
Bentley,Continental Flying Spur,2012,flex-fuel (premium unleaded required/E85),552,12,AUTOMATIC,all wheel drive,4,Large,Sedan,19,11,520,184200,"Exotic,Flex Fuel,Luxury,High-Performance"
Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),626,12,AUTOMATIC,all wheel drive,2,Midsize,Coupe,21,12,520,227600,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance"
Bentley,Continental GT,2014,flex-fuel (premium unleaded required/E85),567,12,AUTOMATIC,all wheel drive,2,Midsize,Coupe,21,12,520,198600,"Exotic,Flex Fuel,Luxury,High-Performance"
Bentley,Continental GT,2015,premium unleaded (required),521,8,AUTOMATIC,all wheel drive,2,Midsize,Convertible,24,14,520,219400,"Exotic,Factory Tuner,Luxury,High-Performance"
Bentley,Continental GT,2016,premium unleaded (required),626,12,AUTOMATIC,all wheel drive,2,Midsize,Coupe,21,12,520,239400,"Exotic,Factory Tuner,Luxury,High-Performance"
BMW,1 Series,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,3916,29450,"Luxury,Performance"
BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,3916,37200,Luxury
BMW,1 Series,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,3916,43550,"Luxury,High-Performance"
BMW,X1,2016,premium unleaded (required),228,4,AUTOMATIC,all wheel drive,4,Compact,4dr SUV,32,22,3916,34800,"Crossover,Luxury"
BMW,X3,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,27,19,3916,46800,"Crossover,Luxury,Performance"
BMW,X3,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,34,27,3916,42750,"Crossover,Luxury,Diesel"
BMW,X4,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,28,20,3916,44700,"Crossover,Luxury"
BMW,X5,2017,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,24,18,3916,57800,"Crossover,Luxury"
BMW,X6,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,22,15,3916,72900,"Crossover,Luxury,Performance"
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,23,3916,32850,"Luxury,Performance"
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,3916,38650,Luxury
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,35,23,3916,34850,"Luxury,Performance"
BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,34,22,3916,40650,Luxury
BMW,2 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,20,3916,44150,"Factory Tuner,Luxury,High-Performance"
BMW,3 Series,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,3916,32950,Luxury
BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,3916,39850,"Diesel,Luxury"
BMW,8 Series,1996,regular unleaded,322,12,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,19,12,3916,6954,"Luxury,Performance"
BMW,Z4 M,2007,premium unleaded (required),330,6,MANUAL,rear wheel drive,2,Compact,Convertible,22,15,3916,52100,"Factory Tuner,Luxury,High-Performance"
BMW,6 Series Gran Coupe,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,Large,Sedan,24,17,3916,91200,"Luxury,High-Performance"
BMW,6 Series Gran Coupe,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,Large,Sedan,24,15,3916,94200,"Luxury,High-Performance"
BMW,6 Series,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,Midsize,Convertible,29,20,3916,86600,"Luxury,Performance"
BMW,6 Series,2016,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,31,20,3916,77300,"Luxury,Performance"
BMW,X6,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,21,15,3916,76100,"Crossover,Luxury,Performance"
BMW,X6,2017,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,24,18,3916,63700,"Crossover,Luxury"
BMW,M6,2015,premium unleaded (required),560,8,AUTOMATED_MANUAL,rear wheel drive,2,Midsize,Coupe,20,14,3916,111900,"Factory Tuner,Luxury,High-Performance"
BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,22,3916,41950,Luxury
BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,25,3916,50150,"Luxury,High-Performance,Hybrid"
BMW,4 Series,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Midsize,Coupe,33,23,3916,44150,"Luxury,Performance"
BMW,Z4,2016,premium unleaded (required),335,6,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Convertible,24,17,3916,66350,"Luxury,High-Performance"
BMW,6 Series,2016,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,Midsize,Convertible,25,17,3916,96200,"Luxury,High-Performance"
BMW,4 Series Gran Coupe,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,31,20,3916,47800,"Luxury,Performance"
Buick,Riviera,1998,regular unleaded,240,6,AUTOMATIC,front wheel drive,2,Large,Coupe,25,16,155,2155,Crossover
Buick,Cascada,2017,premium unleaded (recommended),200,4,AUTOMATIC,front wheel drive,2,Midsize,Convertible,27,20,155,33065,Crossover
Buick,Skylark,1997,regular unleaded,155,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,26,18,155,2000,Crossover
Buick,Enclave,2017,regular unleaded,288,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,22,15,155,47625,Crossover
Buick,Terraza,2006,regular unleaded,196,6,AUTOMATIC,all wheel drive,4,Midsize,Passenger Minivan,21,15,155,30250,Crossover
Buick,Electra,1990,regular unleaded,165,6,AUTOMATIC,front wheel drive,4,Midsize,Sedan,25,16,155,2000,Crossover
Buick,Enclave,2017,regular unleaded,288,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,22,15,155,49625,Crossover
Buick,Rainier,2007,regular unleaded,291,6,AUTOMATIC,all wheel drive,4,Midsize,4dr SUV,20,14,155,33570,Crossover
Buick,Lucerne,2010,flex-fuel (unleaded/E85),227,6,AUTOMATIC,front wheel drive,4,Large,Sedan,26,17,155,36230,Flex Fuel
Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,all wheel drive,4,Compact,4dr SUV,30,23,155,30935,Crossover
Buick,Encore,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Compact,4dr SUV,33,25,155,28300,Crossover
Buick,Regal,2017,premium unleaded (recommended),259,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,27,19,155,31465,Performance
Buick,Rainier,2007,regular unleaded,291,6,AUTOMATIC,rear wheel drive,4,Midsize,4dr SUV,20,14,155,31550,Crossover
Buick,Rainier,2006,regular unleaded,291,6,AUTOMATIC,rear wheel drive,4,Midsize,4dr SUV,20,14,155,30580,Crossover
Buick,LaCrosse,2016,flex-fuel (unleaded/E85),304,6,AUTOMATIC,front wheel drive,4,Large,Sedan,28,18,155,31065,Flex Fuel
Buick,Terraza,2007,regular unleaded,240,6,AUTOMATIC,front wheel drive,4,Midsize,Passenger Minivan,23,16,155,30780,Flex Fuel
Buick,LaCrosse,2016,flex-fuel (unleaded/E85),304,6,AUTOMATIC,front wheel drive,4,Large,Sedan,28,18,155,35900,"Flex Fuel,Performance,Hybrid"
Cadillac,ATS,2016,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,30,22,1624,37245,"Luxury,Performance"
Cadillac,DeVille,2005,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,22,15,1624,46430,Luxury
Cadillac,ATS Coupe,2015,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,29,20,1624,46935,"Luxury,Performance"
Cadillac,ATS Coupe,2015,premium unleaded (recommended),272,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,21,1624,37995,"Luxury,Performance"
Cadillac,ATS Coupe,2016,premium unleaded (recommended),272,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,22,1624,45445,"Luxury,Performance"
Cadillac,CT6,2017,premium unleaded (required),404,6,AUTOMATIC,all wheel drive,4,Large,Sedan,26,18,1624,67595,"Luxury,High-Performance"
Cadillac,Escalade,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,rear wheel drive,4,Large,4dr SUV,21,15,1624,75695,"Flex Fuel,Luxury,Performance"
Cadillac,CT6,2017,premium unleaded (required),404,6,AUTOMATIC,all wheel drive,4,Large,Sedan,26,18,1624,87495,"Luxury,High-Performance"
Cadillac,Escalade,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,rear wheel drive,4,Large,4dr SUV,22,15,1624,81470,"Flex Fuel,Luxury,Performance"
Cadillac,STS,2010,regular unleaded,302,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,27,18,1624,46845,Luxury
Cadillac,DeVille,2003,regular unleaded,275,8,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1624,49150,Luxury
Cadillac,Seville,2002,regular unleaded,300,8,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1624,49705,"Luxury,Performance"
Cadillac,ATS Coupe,2017,premium unleaded (recommended),272,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,22,1624,41395,"Luxury,Performance"
Cadillac,Allante,1991,regular unleaded,200,8,AUTOMATIC,front wheel drive,2,Compact,Convertible,20,14,1624,2000,"Luxury,Performance"
Cadillac,ATS,2015,flex-fuel (unleaded/E85),321,6,AUTOMATIC,rear wheel drive,4,Compact,Sedan,28,18,1624,41340,"Flex Fuel,Luxury,High-Performance"
Cadillac,DTS,2011,premium unleaded (recommended),292,8,AUTOMATIC,front wheel drive,4,Large,Sedan,23,15,1624,59875,Luxury
Cadillac,SRX,2014,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,Midsize,4dr SUV,24,17,1624,45255,"Crossover,Luxury"
Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,four wheel drive,4,Large,4dr SUV,20,14,1624,78570,"Flex Fuel,Luxury"
Cadillac,XLR,2007,regular unleaded,320,8,AUTOMATIC,rear wheel drive,2,Compact,Convertible,24,15,1624,78335,Luxury
Cadillac,Escalade EXT,2013,flex-fuel (premium unleaded recommended/E85),403,8,AUTOMATIC,all wheel drive,4,Large,Crew Cab Pickup,18,13,1624,67250,"Crossover,Flex Fuel,Luxury,Performance"
Cadillac,Escalade EXT,2012,flex-fuel (premium unleaded recommended/E85),403,8,AUTOMATIC,all wheel drive,4,Large,Crew Cab Pickup,18,13,1624,63060,"Crossover,Flex Fuel,Luxury"
Cadillac,STS,2010,premium unleaded (recommended),320,8,AUTOMATIC,rear wheel drive,4,Large,Sedan,24,15,1624,68785,"Luxury,Performance"
Cadillac,Escalade Hybrid,2011,regular unleaded,332,8,AUTOMATIC,four wheel drive,4,Large,4dr SUV,23,20,1624,76685,"Luxury,Hybrid"
Cadillac,XLR,2008,regular unleaded,320,8,AUTOMATIC,rear wheel drive,2,Compact,Convertible,24,15,1624,80650,Luxury
Cadillac,CTS,2016,premium unleaded (recommended),268,4,AUTOMATIC,all wheel drive,4,Large,Sedan,29,21,1624,58285,"Luxury,Performance"
Cadillac,CT6,2016,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,1624,83465,"Luxury,Performance"
Cadillac,CTS,2017,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,19,1624,61195,"Luxury,Performance"
Cadillac,Escalade,2016,premium unleaded (recommended),420,8,AUTOMATIC,four wheel drive,4,Large,4dr SUV,21,15,1624,91950,"Luxury,Performance"
Cadillac,Eldorado,2001,regular unleaded,275,8,AUTOMATIC,front wheel drive,2,Large,Coupe,25,15,1624,40436,Luxury
Cadillac,Eldorado,2000,regular unleaded,300,8,AUTOMATIC,front wheel drive,2,Large,Coupe,25,15,1624,3257,Luxury
Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,rear wheel drive,4,Large,4dr SUV,21,15,1624,78695,"Flex Fuel,Luxury,Performance"
Cadillac,CTS Wagon,2012,regular unleaded,270,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,27,18,1624,42150,Luxury
Cadillac,CTS,2015,premium unleaded (recommended),272,4,AUTOMATIC,all wheel drive,4,Large,Sedan,28,19,1624,53270,"Luxury,Performance"
Cadillac,CTS-V,2017,premium unleaded (required),640,8,AUTOMATIC,rear wheel drive,4,Large,Sedan,21,14,1624,85995,"Factory Tuner,Luxury,High-Performance"
Cadillac,Escalade Hybrid,2013,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Large,4dr SUV,23,20,1624,83870,"Luxury,Hybrid"
Cadillac,CTS Wagon,2013,regular unleaded,318,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,26,18,1624,46090,"Luxury,Performance"
Cadillac,CTS-V Coupe,2015,premium unleaded (required),556,8,MANUAL,rear wheel drive,2,Midsize,Coupe,19,14,1624,69900,"Factory Tuner,Luxury,High-Performance"
Cadillac,Catera,2001,premium unleaded (required),200,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,22,16,1624,31305,Luxury
Cadillac,CTS,2017,regular unleaded,335,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,20,1624,53695,"Luxury,High-Performance"
Cadillac,CTS Coupe,2013,regular unleaded,318,6,AUTOMATIC,all wheel drive,2,Midsize,Coupe,27,18,1624,40805,"Luxury,Performance"
Cadillac,XTS,2015,regular unleaded,304,6,AUTOMATIC,all wheel drive,4,Large,Sedan,26,17,1624,64245,"Luxury,Performance"
Chevrolet,Sonic,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,33,25,1385,21495,Hatchback
Chevrolet,City Express,2016,regular unleaded,131,4,AUTOMATIC,front wheel drive,4,Compact,Cargo Minivan,26,24,1385,23515,Crossover
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,2,Compact,Coupe,37,25,1385,14990,Crossover
Chevrolet,Camaro,2017,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,Midsize,Convertible,20,14,1385,67140,"Factory Tuner,High-Performance"
Chevrolet,Sonic,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Compact,Sedan,37,27,1385,19780,Crossover
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,Large,Regular Cab Pickup,19,14,1385,2883,Crossover
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,Large,Regular Cab Pickup,19,14,1385,3067,Crossover
Chevrolet,Corsica,1994,regular unleaded,120,4,AUTOMATIC,front wheel drive,4,Compact,Sedan,28,22,1385,2000,Crossover
Chevrolet,Corvette,2015,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,Compact,Coupe,29,17,1385,64450,High-Performance
Chevrolet,Sonic,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Compact,Sedan,35,26,1385,16155,Crossover
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,four wheel drive,2,Large,Extended Cab Pickup,18,14,1385,3046,Crossover
Chevrolet,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Midsize,Coupe,30,20,1385,25905,Performance
Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,AUTOMATIC,four wheel drive,4,Large,Extended Cab Pickup,17,13,1385,29580,Flex Fuel
Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Large,Extended Cab Pickup,24,18,1385,33360,Flex Fuel
Chevrolet,Colorado,2016,regular unleaded,305,6,AUTOMATIC,four wheel drive,4,Compact,Crew Cab Pickup,24,17,1385,33195,Diesel
Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Large,Regular Cab Pickup,22,17,1385,36680,Flex Fuel
Chevrolet,Impala Limited,2015,flex-fuel (unleaded/E85),300,6,AUTOMATIC,front wheel drive,4,Large,Sedan,30,18,1385,26840,Flex Fuel
